# Sensor type: Thingy
# Activity type: Running
# Activity subtype: Normal
# Subject id: s2104454
# Notes: unprocessed
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1696243508382,-1.2460938,-0.38476562,-0.18164062,-74.21875,202.96875,23.40625,0.0,0.0,0.0
1696243508413,-1.5146484,-0.23242188,-0.052734375,47.4375,168.28125,-5.90625,-96.125,21.9375,-58.5625
1696243508444,-1.1884766,0.5498047,0.73046875,-15.375,106.65625,-12.84375,0.0,0.0,0.0
1696243508501,-0.7675781,0.059570312,0.7421875,-34.78125,45.25,25.46875,0.0,0.0,0.0
1696243508539,-0.6748047,-0.6484375,0.4033203,-85.21875,-35.375,8.375,0.0,0.0,0.0
1696243508562,-0.36816406,-0.29003906,0.08691406,-12.9375,-118.5,-52.03125,0.0,0.0,0.0
1696243508623,-0.26171875,-0.076171875,0.095703125,200.375,-173.75,-36.34375,0.0,0.0,0.0
1696243508653,-2.0,0.42089844,0.64453125,154.96875,-323.53125,-17.3125,0.0,0.0,0.0
1696243508685,-1.6240234,0.57128906,0.5419922,-171.15625,-204.9375,-71.09375,0.0,0.0,0.0
1696243508742,-1.7207031,-0.5810547,0.13671875,4.53125,-72.125,-0.90625,0.0,0.0,0.0
1696243508770,-1.2255859,-0.37402344,-0.0126953125,168.40625,-76.59375,-66.375,0.0,0.0,0.0
1696243508804,0.16699219,0.43945312,-0.061523438,141.90625,-24.34375,-50.28125,0.0,0.0,0.0
1696243508863,0.3330078,0.4404297,-0.0029296875,0.84375,97.0,21.4375,0.0,0.0,0.0
1696243508892,-0.11328125,0.02734375,-0.038085938,-38.75,151.6875,50.3125,-86.25,31.8125,-47.625
1696243508922,-1.4892578,-0.00390625,1.7402344,-49.9375,43.53125,22.125,0.0,0.0,0.0
1696243508983,0.8701172,-0.07128906,-1.5126953,-148.1875,-46.65625,-25.84375,0.0,0.0,0.0
1696243509012,-2.0,0.099609375,1.5195312,676.28125,-223.4375,277.3125,0.0,0.0,0.0
1696243509044,1.2470703,0.7597656,-0.5498047,-186.71875,61.84375,19.3125,0.0,0.0,0.0
1696243509102,-2.0,0.02734375,-0.03125,-37.40625,146.1875,224.4375,0.0,0.0,0.0
1696243509132,-1.0703125,-0.24023438,0.13671875,8.53125,169.15625,-79.75,0.0,0.0,0.0
1696243509164,-0.9667969,0.8388672,0.5888672,19.34375,142.40625,-15.84375,0.0,0.0,0.0
1696243509223,-1.0507812,-0.17480469,0.9394531,-82.8125,83.9375,23.21875,0.0,0.0,0.0
1696243509253,-0.39746094,-0.9921875,-0.09472656,-73.78125,5.5625,-21.9375,0.0,0.0,0.0
1696243509282,-0.24414062,0.38183594,0.19628906,71.15625,-130.59375,-56.75,0.0,0.0,0.0
1696243509343,-0.20996094,0.5253906,-0.087890625,205.625,-169.28125,-0.09375,0.0,0.0,0.0
1696243509372,-2.0,0.36523438,0.6796875,-14.46875,-282.8125,13.5625,0.0,0.0,0.0
1696243509401,-2.0,-0.1875,0.26953125,-105.46875,-147.625,-104.90625,-90.3125,32.125,-53.3125
1696243509463,-1.4892578,-0.3779297,0.29492188,67.25,-89.6875,-32.21875,0.0,0.0,0.0
1696243509493,-0.7753906,0.09277344,0.0087890625,189.5625,-60.53125,-37.625,0.0,0.0,0.0
1696243509526,0.39746094,0.5019531,-0.109375,95.03125,4.15625,-23.78125,0.0,0.0,0.0
1696243509584,0.37890625,0.099609375,-0.061523438,-60.84375,157.1875,43.125,0.0,0.0,0.0
1696243509612,-0.73828125,-0.14453125,0.4091797,-16.1875,129.59375,53.96875,0.0,0.0,0.0
1696243509642,-1.2578125,-0.37109375,1.8417969,-218.1875,-171.25,-31.84375,0.0,0.0,0.0
1696243509706,-1.4863281,1.6669922,-1.4316406,-180.96875,25.53125,42.4375,0.0,0.0,0.0
1696243509732,-0.6015625,-1.0019531,-0.9638672,-116.8125,97.875,-36.40625,0.0,0.0,0.0
1696243509763,-1.2451172,0.7607422,0.07714844,-164.3125,148.9375,119.40625,0.0,0.0,0.0
1696243509823,-1.5205078,-1.5810547,0.37695312,88.6875,189.59375,-25.375,0.0,0.0,0.0
1696243509852,-1.2236328,0.6875,0.65527344,-8.3125,168.78125,-21.46875,0.0,0.0,0.0
1696243509882,-0.90625,0.140625,0.9238281,-54.03125,106.65625,30.90625,-97.375,30.5,-66.8125
1696243509943,-0.5488281,-0.6035156,0.25,-82.40625,31.03125,30.1875,0.0,0.0,0.0
1696243509973,-0.29003906,-0.46191406,0.29882812,10.3125,-94.28125,-32.09375,0.0,0.0,0.0
1696243510003,-0.12207031,0.34472656,0.1640625,170.40625,-150.0,-10.0625,0.0,0.0,0.0
1696243510062,-2.0,0.3388672,0.59765625,102.0625,-273.78125,-0.34375,0.0,0.0,0.0
1696243510098,-2.0,0.5019531,0.140625,-314.625,-173.5625,-12.5625,0.0,0.0,0.0
1696243510126,-2.0,-0.7363281,0.27246094,77.21875,-102.15625,-70.15625,0.0,0.0,0.0
1696243510183,-1.0976562,-0.05078125,-0.09472656,240.78125,-83.21875,-83.96875,0.0,0.0,0.0
1696243510211,0.21875,0.72265625,0.06933594,173.53125,-54.25,-63.03125,0.0,0.0,0.0
1696243510243,0.5830078,0.32714844,-0.1328125,2.375,98.21875,33.09375,0.0,0.0,0.0
1696243510304,-0.17871094,0.18359375,0.037109375,-50.71875,135.28125,48.90625,0.0,0.0,0.0
1696243510332,-1.8203125,-0.328125,1.9873047,-166.9375,-85.3125,4.40625,0.0,0.0,0.0
1696243510362,-0.3671875,0.83496094,-2.0126953,-336.375,80.71875,-66.9375,0.0,0.0,0.0
1696243510428,-1.4023438,-1.0917969,-1.1513672,43.03125,147.40625,-9.6875,-94.0625,25.0625,-56.3125
1696243510453,-0.4892578,0.8828125,0.3408203,-231.75,182.34375,107.75,0.0,0.0,0.0
1696243510483,-2.0,-1.9824219,0.24804688,175.53125,227.625,-45.875,0.0,0.0,0.0
1696243510543,-0.98535156,0.859375,0.6191406,-48.03125,190.625,-62.25,0.0,0.0,0.0
1696243510573,-0.9375,0.43554688,1.0615234,-78.5625,116.0,33.90625,0.0,0.0,0.0
1696243510602,-0.49316406,-0.77441406,0.26660156,-84.71875,23.28125,48.375,0.0,0.0,0.0
1696243510663,-0.3173828,-0.71875,0.5205078,-5.8125,-96.59375,-48.5,0.0,0.0,0.0
1696243510693,-0.25390625,0.47753906,0.24121094,179.625,-158.96875,-24.09375,0.0,0.0,0.0
1696243510723,-2.0,0.2265625,0.23242188,80.75,-296.125,-25.125,0.0,0.0,0.0
1696243510784,-2.0,0.47851562,-0.46191406,-321.65625,-162.53125,-31.40625,0.0,0.0,0.0
1696243510813,-2.0,-0.8613281,0.296875,93.625,-128.28125,-76.09375,0.0,0.0,0.0
1696243510842,-0.7949219,-0.14160156,-0.19335938,306.40625,-129.3125,-70.84375,0.0,0.0,0.0
1696243510902,0.5341797,0.7167969,-0.061523438,173.71875,-30.3125,-40.625,-90.3125,14.3125,-49.4375
1696243510933,0.7529297,0.25097656,-0.29589844,-26.6875,120.4375,37.75,0.0,0.0,0.0
1696243510961,-0.1640625,0.09375,0.19921875,-98.8125,174.875,36.8125,0.0,0.0,0.0
1696243511023,-1.7802734,-0.4033203,1.9873047,-181.65625,-142.125,7.65625,0.0,0.0,0.0
