,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,ind
54,1696242792584,-0.13671875,-0.140625,0.984375,-0.03125,-0.09375,0.125,0.0,0.0,0.0,190
55,1696242792624,-0.14160156,-0.14355469,1.0019531,0.15625,0.03125,-0.1875,0.0,0.0,0.0,191
56,1696242792664,-0.140625,-0.13671875,0.984375,0.46875,0.09375,-0.0625,0.0,0.0,0.0,192
57,1696242792704,-0.13574219,-0.13574219,0.9921875,0.28125,0.15625,-0.0625,0.0,0.0,0.0,193
58,1696242792744,-0.13769531,-0.13964844,0.9951172,0.28125,0.21875,-0.1875,0.0,0.0,0.0,194
59,1696242792784,-0.13769531,-0.14160156,0.99121094,0.40625,-0.09375,-0.0625,0.0,0.0,0.0,195
60,1696242792824,-0.14453125,-0.13183594,0.9892578,0.28125,0.15625,-0.125,0.0,0.0,0.0,196
61,1696242792864,-0.13671875,-0.14257812,1.0009766,0.5625,0.15625,-0.0625,0.0,0.0,0.0,197
62,1696242792904,-0.13867188,-0.14160156,0.99609375,0.46875,-0.03125,0.0,-66.3125,-1.9375,-29.75,198
63,1696242792944,-0.13769531,-0.13476562,0.9794922,0.46875,0.09375,-0.1875,0.0,0.0,0.0,199
64,1696242792984,-0.13574219,-0.140625,0.99609375,0.75,0.03125,-0.0625,0.0,0.0,0.0,200
65,1696242793024,-0.14160156,-0.14160156,0.99316406,0.21875,0.15625,-0.125,0.0,0.0,0.0,201
66,1696242793064,-0.12890625,-0.14160156,1.0117188,0.34375,-0.09375,-0.0625,0.0,0.0,0.0,202
67,1696242793104,-0.13378906,-0.14160156,0.99609375,0.34375,0.28125,0.125,0.0,0.0,0.0,203
68,1696242793144,-0.13574219,-0.13769531,0.99609375,0.40625,0.21875,-0.25,0.0,0.0,0.0,204
69,1696242793184,-0.13378906,-0.13574219,0.9951172,0.34375,-0.03125,-0.1875,0.0,0.0,0.0,205
70,1696242793224,-0.13085938,-0.13378906,0.9902344,0.5625,0.09375,-0.1875,0.0,0.0,0.0,206
71,1696242793264,-0.14160156,-0.12792969,0.98339844,0.46875,-0.15625,-0.1875,0.0,0.0,0.0,207
72,1696242793304,-0.13671875,-0.125,0.97753906,-0.03125,-0.03125,0.1875,0.0,0.0,0.0,208
73,1696242793344,-0.1328125,-0.123046875,1.0019531,0.5,-0.09375,0.0,0.0,0.0,0.0,209
74,1696242793384,-0.13476562,-0.13476562,0.9980469,0.15625,0.34375,-0.125,0.0,0.0,0.0,210
75,1696242793424,-0.13574219,-0.1328125,1.0039062,0.46875,0.09375,-0.125,-66.0,-3.125,-29.75,211
76,1696242793464,-0.13085938,-0.12695312,0.99609375,0.625,-0.03125,-0.0625,0.0,0.0,0.0,212
77,1696242793504,-0.14355469,-0.13183594,0.9970703,0.21875,0.09375,0.0,0.0,0.0,0.0,213
78,1696242793544,-0.13867188,-0.13671875,1.0009766,0.03125,-0.09375,0.125,0.0,0.0,0.0,214
79,1696242793584,-0.13671875,-0.1328125,0.99121094,0.5,-0.03125,0.125,0.0,0.0,0.0,215
80,1696242793624,-0.13769531,-0.13378906,0.9863281,0.03125,0.03125,-0.0625,0.0,0.0,0.0,216
81,1696242793664,-0.12988281,-0.1328125,0.99121094,0.28125,-0.03125,-0.125,0.0,0.0,0.0,217
82,1696242793704,-0.14453125,-0.13378906,0.9970703,0.5,0.09375,0.0625,0.0,0.0,0.0,218
83,1696242793744,-0.13671875,-0.13964844,0.9970703,-0.21875,-0.15625,-0.1875,0.0,0.0,0.0,219
84,1696242793784,-0.13769531,-0.1328125,0.9941406,-0.28125,0.03125,-0.125,0.0,0.0,0.0,220
85,1696242793824,-0.13378906,-0.13964844,0.99609375,-0.09375,-0.21875,-0.1875,0.0,0.0,0.0,221
86,1696242793864,-0.13574219,-0.1328125,0.99609375,-0.21875,-0.09375,0.0,0.0,0.0,0.0,222
87,1696242793904,-0.140625,-0.13964844,0.9941406,0.03125,-0.15625,0.125,-67.1875,-2.5,-29.0,223
88,1696242793944,-0.13574219,-0.13671875,0.9863281,-0.34375,-0.09375,0.0,0.0,0.0,0.0,224
