# Sensor type: Thingy
# Activity type: Descending stairs
# Activity subtype: Normal
# Subject id: s2104454
# Notes: unprocessed
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1696243352921,-0.9951172,0.11425781,-0.029296875,-1.15625,-1.5625,0.15625,-92.25,44.4375,-82.6875
1696243352951,-0.99902344,0.12988281,-0.049804688,1.78125,0.21875,1.4375,0.0,0.0,0.0
1696243352983,-1.0058594,0.12207031,0.0068359375,16.1875,3.5625,4.21875,0.0,0.0,0.0
1696243353075,-1.0332031,0.18554688,0.099609375,-4.75,-10.84375,-3.21875,0.0,0.0,0.0
1696243353077,-1.0664062,-0.036132812,0.15332031,7.9375,-62.96875,-8.71875,0.0,0.0,0.0
1696243353101,-0.96777344,-0.091796875,0.35839844,20.4375,-92.09375,-33.71875,0.0,0.0,0.0
1696243353198,-0.88183594,0.2734375,-0.09082031,-14.53125,-45.09375,-29.40625,0.0,0.0,0.0
1696243353199,-0.9814453,-0.01953125,-0.06640625,25.4375,16.75,-18.84375,0.0,0.0,0.0
1696243353220,-1.0839844,0.041015625,0.16308594,-17.8125,29.625,-26.71875,0.0,0.0,0.0
1696243353281,-1.0371094,0.43945312,0.07714844,-0.375,14.375,-1.8125,0.0,0.0,0.0
1696243353318,-0.9111328,0.3876953,0.049804688,25.875,12.03125,31.46875,0.0,0.0,0.0
1696243353342,-1.0058594,-0.25,-0.06347656,16.25,17.53125,16.125,0.0,0.0,0.0
1696243353402,-1.0078125,-0.06542969,-0.0703125,19.09375,8.6875,-9.9375,0.0,0.0,0.0
1696243353441,-1.0400391,0.068359375,0.08203125,13.1875,-0.59375,-7.71875,-94.375,39.5,-79.6875
1696243353464,-1.0068359,0.12207031,0.06738281,-14.53125,6.1875,2.15625,0.0,0.0,0.0
1696243353520,-1.0615234,-0.091796875,0.034179688,-4.75,6.0625,4.53125,0.0,0.0,0.0
1696243353554,-1.0048828,-0.203125,0.0146484375,7.03125,16.8125,-4.8125,0.0,0.0,0.0
1696243353585,-0.9736328,-0.026367188,0.07714844,34.125,22.78125,-3.59375,0.0,0.0,0.0
1696243353648,-0.9316406,0.080078125,0.15039062,34.125,18.5,-3.09375,0.0,0.0,0.0
1696243353672,-1.0,0.16796875,0.2783203,14.65625,0.09375,-2.71875,0.0,0.0,0.0
1696243353702,-0.9111328,0.068359375,0.328125,-0.96875,-25.25,-0.90625,0.0,0.0,0.0
1696243353763,-0.8076172,0.0126953125,0.12402344,-32.53125,-76.03125,-5.40625,0.0,0.0,0.0
1696243353791,-0.63671875,0.16308594,0.33398438,28.375,-104.09375,16.125,0.0,0.0,0.0
1696243353823,-0.8564453,0.111328125,-0.10644531,-51.8125,-46.65625,22.78125,0.0,0.0,0.0
1696243353884,-1.1806641,-0.2919922,0.06738281,0.90625,-51.84375,14.65625,0.0,0.0,0.0
1696243353913,-0.9189453,-0.17871094,0.08691406,31.6875,-69.4375,-29.53125,-95.5625,41.125,-74.625
1696243353943,-0.6376953,0.18652344,0.123046875,27.90625,-34.9375,-2.0,0.0,0.0,0.0
1696243354005,-0.97265625,-0.04296875,0.25976562,-10.75,7.90625,20.78125,0.0,0.0,0.0
1696243354033,-1.2519531,-0.21972656,0.47558594,21.1875,-19.03125,-0.71875,0.0,0.0,0.0
1696243354063,-0.62890625,0.048828125,0.34765625,32.59375,-26.34375,0.375,0.0,0.0,0.0
1696243354124,-1.1357422,-0.107421875,0.33203125,-6.03125,-7.5,31.9375,0.0,0.0,0.0
1696243354156,-2.0,0.15039062,0.52734375,-11.71875,-58.375,-25.3125,0.0,0.0,0.0
1696243354185,-1.4277344,0.25976562,0.46289062,-42.125,-62.46875,-80.4375,0.0,0.0,0.0
1696243354241,-1.0371094,-0.052734375,0.32714844,51.875,-65.28125,-50.6875,0.0,0.0,0.0
1696243354273,-0.68847656,0.21582031,0.203125,107.0,-79.5,-26.90625,0.0,0.0,0.0
1696243354301,-0.7919922,0.3076172,0.22460938,56.9375,-62.90625,-11.40625,0.0,0.0,0.0
1696243354365,-0.8876953,0.13867188,0.43164062,63.28125,-43.0,13.75,0.0,0.0,0.0
1696243354397,-0.9199219,0.1171875,0.40429688,47.0,-35.8125,7.46875,0.0,0.0,0.0
1696243354422,-0.84472656,0.36035156,0.4482422,21.59375,-27.03125,6.90625,-93.125,41.0,-64.25
1696243354487,-0.87109375,0.12109375,0.43652344,12.21875,-28.96875,9.90625,0.0,0.0,0.0
1696243354513,-0.71972656,0.12207031,0.5214844,5.75,-17.25,14.84375,0.0,0.0,0.0
1696243354544,-0.72558594,0.24804688,0.4267578,7.6875,-2.96875,22.84375,0.0,0.0,0.0
1696243354606,-0.7558594,0.15722656,0.53808594,8.59375,13.875,27.90625,0.0,0.0,0.0
1696243354665,-0.703125,0.22363281,0.5048828,-9.71875,37.5625,17.40625,0.0,0.0,0.0
1696243354672,-0.74121094,0.16699219,0.38671875,-12.8125,51.28125,14.375,0.0,0.0,0.0
1696243354724,-0.8222656,0.10058594,0.42089844,-21.84375,47.5,-3.46875,0.0,0.0,0.0
1696243354754,-0.9609375,0.12695312,0.48828125,-31.0,69.46875,-19.875,0.0,0.0,0.0
1696243354782,-0.96875,0.18457031,0.4716797,-26.5625,49.71875,-32.28125,0.0,0.0,0.0
1696243354845,-0.88671875,0.14746094,0.47265625,-31.3125,52.8125,-28.90625,0.0,0.0,0.0
1696243354873,-0.8720703,0.12695312,0.5214844,-33.21875,56.46875,-7.0625,0.0,0.0,0.0
