# Sensor type: Thingy
# Activity type: Sitting
# Activity subtype: Normal
# Subject id: s2106809
# Notes: unprocessed
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1696254691512,-0.07910156,-0.12988281,0.96972656,-1.59375,0.40625,-1.125,0.0,0.0,0.0
1696254691529,-0.08984375,-0.12402344,0.9765625,-2.09375,0.28125,-1.34375,-8.6875,16.5625,-186.625
1696254691576,-0.08691406,-0.12792969,0.9814453,-1.25,0.59375,-1.3125,0.0,0.0,0.0
1696254691604,-0.08886719,-0.12988281,0.98339844,-1.46875,0.65625,-1.0625,0.0,0.0,0.0
1696254691638,-0.08984375,-0.12792969,0.9863281,-1.25,0.84375,-1.1875,0.0,0.0,0.0
1696254691683,-0.08496094,-0.13085938,0.9824219,-1.125,0.78125,-1.125,0.0,0.0,0.0
1696254691724,-0.09667969,-0.125,0.9794922,-1.0,0.65625,-1.0,0.0,0.0,0.0
1696254691762,-0.09375,-0.13183594,0.98046875,-1.3125,0.71875,-1.125,0.0,0.0,0.0
1696254691807,-0.091796875,-0.11621094,0.9873047,-1.3125,0.90625,-1.125,0.0,0.0,0.0
1696254691840,-0.091796875,-0.123046875,0.984375,-1.1875,0.71875,-1.1875,0.0,0.0,0.0
1696254691885,-0.08105469,-0.1171875,0.9941406,-1.0625,0.65625,-1.125,0.0,0.0,0.0
1696254691922,-0.08300781,-0.13476562,0.98828125,-1.0,0.59375,-1.0625,0.0,0.0,0.0
1696254691964,-0.080078125,-0.1328125,0.98828125,-0.75,0.71875,-1.0625,0.0,0.0,0.0
1696254691998,-0.08886719,-0.13378906,0.9902344,-0.9375,0.78125,-1.0625,0.0,0.0,0.0
1696254692043,-0.08886719,-0.12792969,0.9863281,-0.8125,0.71875,-1.0625,-9.3125,16.375,-186.5
1696254692077,-0.07910156,-0.12890625,0.98339844,-1.3125,0.78125,-1.1875,0.0,0.0,0.0
1696254692122,-0.087890625,-0.12597656,0.9736328,-1.25,0.78125,-1.125,0.0,0.0,0.0
1696254692166,-0.09082031,-0.13085938,0.99316406,-1.125,1.03125,-1.1875,0.0,0.0,0.0
1696254692212,-0.09082031,-0.12792969,0.98828125,-1.25,0.84375,-0.8125,0.0,0.0,0.0
1696254692245,-0.091796875,-0.12109375,0.9921875,-1.1875,0.90625,-1.0,0.0,0.0,0.0
1696254692279,-0.09277344,-0.12792969,0.9902344,-1.25,0.78125,-1.0625,0.0,0.0,0.0
1696254692324,-0.09277344,-0.12792969,0.98046875,-0.9375,0.84375,-1.3125,0.0,0.0,0.0
1696254692358,-0.09082031,-0.12207031,0.98339844,-1.125,0.84375,-1.1875,0.0,0.0,0.0
1696254692403,-0.08496094,-0.12988281,0.98535156,-1.0,0.78125,-1.125,0.0,0.0,0.0
1696254692437,-0.091796875,-0.13183594,0.98828125,-1.125,0.84375,-1.25,0.0,0.0,0.0
1696254692482,-0.09277344,-0.12597656,0.9863281,-1.0,0.90625,-1.125,0.0,0.0,0.0
1696254692527,-0.08300781,-0.12207031,0.9921875,-1.25,0.84375,-1.0625,-9.125,16.5625,-185.75
1696254692560,-0.08984375,-0.13085938,0.984375,-1.46875,0.78125,-1.125,0.0,0.0,0.0
1696254692605,-0.087890625,-0.12988281,0.9824219,-1.0625,0.84375,-1.0625,0.0,0.0,0.0
1696254692639,-0.08691406,-0.125,0.97265625,-1.25,0.71875,-1.1875,0.0,0.0,0.0
1696254692684,-0.091796875,-0.12695312,0.98046875,-1.0625,0.71875,-1.0625,0.0,0.0,0.0
1696254692720,-0.09082031,-0.12207031,0.9873047,-1.25,0.78125,-1.1875,0.0,0.0,0.0
1696254692763,-0.09277344,-0.12109375,0.984375,-1.34375,0.59375,-1.0,0.0,0.0,0.0
1696254692796,-0.09375,-0.12890625,0.9951172,-0.75,0.65625,-0.9375,0.0,0.0,0.0
1696254692842,-0.08691406,-0.12792969,0.9785156,-1.1875,0.65625,-0.9375,0.0,0.0,0.0
1696254692887,-0.09375,-0.12011719,0.98535156,-1.3125,0.84375,-1.25,0.0,0.0,0.0
1696254692920,-0.08886719,-0.12011719,0.9873047,-1.40625,0.78125,-1.125,0.0,0.0,0.0
1696254692965,-0.087890625,-0.125,0.9814453,-1.3125,0.71875,-1.0,0.0,0.0,0.0
1696254692999,-0.0859375,-0.12207031,0.9902344,-1.78125,0.84375,-1.1875,0.0,0.0,0.0
1696254693044,-0.087890625,-0.12011719,0.9824219,-1.25,1.09375,-1.1875,-6.625,17.3125,-187.125
1696254693078,-0.08984375,-0.13183594,0.9873047,-1.40625,0.96875,-1.0,0.0,0.0,0.0
1696254693123,-0.087890625,-0.123046875,0.9794922,-1.34375,0.96875,-1.0,0.0,0.0,0.0
1696254693156,-0.095703125,-0.123046875,0.9863281,-1.25,0.65625,-1.125,0.0,0.0,0.0
1696254693202,-0.08886719,-0.11816406,0.9794922,-1.65625,0.90625,-1.25,0.0,0.0,0.0
1696254693247,-0.08496094,-0.125,0.9785156,-2.03125,1.28125,-1.3125,0.0,0.0,0.0
1696254693281,-0.09277344,-0.12109375,0.9892578,-1.53125,0.78125,-1.0,0.0,0.0,0.0
1696254693326,-0.10058594,-0.125,0.9863281,-1.0,0.46875,-1.0625,0.0,0.0,0.0
1696254693359,-0.087890625,-0.1328125,0.9824219,-1.25,0.65625,-1.125,0.0,0.0,0.0
1696254693404,-0.09375,-0.119140625,0.96972656,-1.59375,0.71875,-1.1875,0.0,0.0,0.0
1696254693438,-0.08984375,-0.13378906,0.984375,-1.46875,0.65625,-1.0625,0.0,0.0,0.0
1696254693483,-0.09082031,-0.12597656,0.99609375,-2.15625,0.59375,-1.0625,0.0,0.0,0.0
1696254693528,-0.09082031,-0.13476562,0.98828125,-1.84375,0.65625,-1.0625,-9.625,16.375,-183.8125
1696254693569,-0.09082031,-0.13085938,0.9863281,-1.65625,0.59375,-1.0625,0.0,0.0,0.0
1696254693607,-0.08984375,-0.12207031,1.0019531,-1.84375,0.59375,-1.0625,0.0,0.0,0.0
1696254693647,-0.08886719,-0.13183594,0.9921875,-1.53125,0.40625,-1.0,0.0,0.0,0.0
1696254693685,-0.08691406,-0.12988281,0.9785156,-1.1875,0.65625,-1.125,0.0,0.0,0.0
1696254693719,-0.1015625,-0.13085938,0.9794922,-1.34375,0.71875,-1.0625,0.0,0.0,0.0
1696254693764,-0.08691406,-0.12792969,0.9794922,-1.65625,0.65625,-1.1875,0.0,0.0,0.0
1696254693798,-0.091796875,-0.1328125,0.99316406,-1.59375,0.78125,-1.125,0.0,0.0,0.0
1696254693843,-0.09082031,-0.12207031,0.98339844,-1.53125,0.71875,-1.125,0.0,0.0,0.0
1696254693877,-0.095703125,-0.12988281,0.98046875,-1.65625,0.65625,-1.0,0.0,0.0,0.0
1696254693922,-0.083984375,-0.12792969,0.9824219,-1.78125,0.59375,-1.1875,0.0,0.0,0.0
1696254693966,-0.08886719,-0.12890625,0.98339844,-1.78125,0.84375,-1.0,0.0,0.0,0.0
1696254694000,-0.09277344,-0.13671875,0.9824219,-1.53125,0.59375,-1.0,0.0,0.0,0.0
1696254694045,-0.08886719,-0.13085938,0.9814453,-1.53125,0.59375,-1.25,-8.5625,16.375,-186.5
1696254694079,-0.087890625,-0.13378906,0.97753906,-1.3125,0.59375,-1.1875,0.0,0.0,0.0
1696254694124,-0.09277344,-0.12792969,0.984375,-1.53125,0.59375,-1.0,0.0,0.0,0.0
1696254694158,-0.09277344,-0.12695312,0.9863281,-1.34375,0.40625,-1.0625,0.0,0.0,0.0
1696254694203,-0.087890625,-0.13476562,0.9863281,-1.46875,0.59375,-1.1875,0.0,0.0,0.0
1696254694237,-0.08105469,-0.12890625,0.98339844,-1.53125,0.59375,-1.0625,0.0,0.0,0.0
1696254694281,-0.091796875,-0.12792969,0.9941406,-1.34375,0.59375,-1.0625,0.0,0.0,0.0
1696254694338,-0.091796875,-0.12207031,0.9873047,-1.25,0.59375,-1.125,0.0,0.0,0.0
1696254694360,-0.087890625,-0.12792969,0.9765625,-1.46875,0.71875,-1.125,0.0,0.0,0.0
1696254694405,-0.08691406,-0.13378906,0.98535156,-1.3125,0.59375,-1.1875,0.0,0.0,0.0
1696254694439,-0.0859375,-0.13183594,0.9980469,-1.125,0.59375,-1.0625,0.0,0.0,0.0
1696254694485,-0.091796875,-0.13183594,0.9951172,-1.125,0.65625,-1.1875,0.0,0.0,0.0
1696254694518,-0.08984375,-0.13378906,0.9873047,-1.1875,0.59375,-1.125,-8.375,17.0,-187.375
1696254694564,-0.09082031,-0.13183594,0.98535156,-1.34375,0.78125,-1.1875,0.0,0.0,0.0
1696254694596,-0.095703125,-0.12597656,0.9873047,-1.0625,0.59375,-1.1875,0.0,0.0,0.0
1696254694642,-0.09082031,-0.14257812,0.9951172,-1.125,0.65625,-1.125,0.0,0.0,0.0
1696254694687,-0.09082031,-0.12597656,0.9892578,-1.34375,0.78125,-1.0,0.0,0.0,0.0
1696254694732,-0.08691406,-0.13867188,0.9873047,0.03125,-0.125,0.0,0.0,0.0,0.0
1696254694768,-0.08496094,-0.12890625,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1696254694799,-0.09082031,-0.13378906,0.98339844,0.0,-0.0625,-0.0625,0.0,0.0,0.0
1696254694844,-0.09082031,-0.13378906,0.9970703,0.0,-0.0625,-0.0625,0.0,0.0,0.0
1696254694878,-0.09472656,-0.12597656,0.9902344,-0.1875,-0.125,0.03125,0.0,0.0,0.0
1696254694924,-0.09375,-0.1328125,0.9658203,0.0,0.0,-0.0625,0.0,0.0,0.0
1696254694957,-0.08886719,-0.12792969,0.99609375,0.09375,0.0,-0.125,0.0,0.0,0.0
1696254695002,-0.091796875,-0.12597656,0.9863281,-0.125,-0.25,-0.0625,0.0,0.0,0.0
1696254695047,-0.08984375,-0.1328125,0.98339844,0.0,-0.1875,0.0,-7.625,15.5,-186.375
1696254695091,-0.09472656,-0.1328125,0.96875,0.21875,-0.1875,-0.125,0.0,0.0,0.0
