# Sensor type: Respeck
# Activity type: Lying down on left
# Activity subtype: Normal
# Subject id: s2106809
# Notes: unprocessed
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1696254813061,-0.43896484,-0.10479736,-0.87457275,-0.015625,-0.34375,0.296875
1696254813078,-0.4428711,-0.09869385,-0.87164307,-0.109375,-0.09375,0.140625
1696254813119,-0.44018555,-0.101623535,-0.8711548,-0.046875,-0.25,0.203125
1696254813160,-0.43286133,-0.09503174,-0.8687134,0.1875,-0.40625,0.140625
1696254813199,-0.43481445,-0.09844971,-0.866272,-0.03125,-0.46875,0.140625
1696254813240,-0.44067383,-0.09649658,-0.86602783,-0.09375,-0.4375,-0.015625
1696254813279,-0.44384766,-0.10089111,-0.8735962,-0.03125,-0.375,0.203125
1696254813318,-0.43920898,-0.09967041,-0.86846924,-0.046875,-0.46875,0.140625
1696254813360,-0.43774414,-0.10064697,-0.8699341,-0.21875,-0.3125,0.28125
1696254813420,-0.43920898,-0.09893799,-0.8665161,0.234375,-0.359375,0.234375
1696254813439,-0.43920898,-0.09454346,-0.8670044,0.015625,-0.671875,0.15625
1696254813500,-0.4416504,-0.10211182,-0.87091064,0.0,-0.46875,0.15625
1696254813540,-0.4404297,-0.09576416,-0.8682251,-0.171875,-0.375,0.1875
1696254813558,-0.43847656,-0.09893799,-0.8670044,-0.078125,-0.390625,0.28125
1696254813600,-0.43603516,-0.101379395,-0.86602783,-0.078125,-0.265625,0.296875
1696254813661,-0.44384766,-0.10211182,-0.87164307,-0.140625,-0.359375,0.125
1696254813683,-0.43896484,-0.10284424,-0.86724854,-0.21875,-0.109375,0.140625
1696254813720,-0.44018555,-0.08917236,-0.8713989,-0.046875,-0.453125,0.171875
1696254813759,-0.4326172,-0.093566895,-0.87091064,-0.265625,-0.484375,0.09375
1696254813822,-0.43920898,-0.09503174,-0.86968994,-0.125,-0.609375,0.234375
1696254813840,-0.4440918,-0.09942627,-0.8731079,0.0,-0.546875,0.1875
1696254813880,-0.43774414,-0.10357666,-0.86968994,-0.125,-0.609375,0.265625
1696254813923,-0.43823242,-0.101135254,-0.86798096,-0.046875,-0.5625,0.265625
1696254814003,-0.4375,-0.10015869,-0.8718872,-0.21875,-0.5,0.171875
1696254814005,-0.43408203,-0.10040283,-0.87384033,-0.1875,-0.328125,0.3125
1696254814021,-0.4375,-0.0960083,-0.86260986,-0.09375,-0.359375,0.1875
1696254814060,-0.4404297,-0.0960083,-0.86724854,-0.1875,-0.328125,0.203125
1696254814100,-0.43945312,-0.10479736,-0.8687134,-0.1875,-0.5625,0.1875
1696254814140,-0.4440918,-0.10040283,-0.8648071,-0.34375,-0.390625,0.125
1696254814181,-0.44140625,-0.10015869,-0.866272,-0.234375,-0.359375,0.25
1696254814221,-0.43945312,-0.10089111,-0.86383057,-0.203125,-0.40625,0.015625
1696254814265,-0.4411621,-0.10601807,-0.86920166,-0.234375,-0.375,0.1875
1696254814300,-0.4411621,-0.101379395,-0.86798096,-0.28125,-0.5625,0.234375
1696254814344,-0.43969727,-0.10040283,-0.8682251,-0.140625,-0.671875,0.125
1696254814380,-0.43945312,-0.10308838,-0.8670044,-0.25,-0.59375,0.109375
1696254814420,-0.44384766,-0.10040283,-0.8740845,-0.40625,-0.453125,0.125
1696254814460,-0.44067383,-0.10284424,-0.87042236,-0.25,-0.515625,0.234375
1696254814501,-0.4362793,-0.10211182,-0.8670044,-0.0625,-0.40625,0.234375
1696254814544,-0.4375,-0.097717285,-0.8670044,-0.1875,-0.375,0.21875
1696254814581,-0.43774414,-0.10235596,-0.87091064,-0.171875,-0.71875,0.171875
1696254814620,-0.43554688,-0.1038208,-0.8701782,-0.328125,-0.515625,0.171875
1696254814661,-0.43920898,-0.10308838,-0.87042236,-0.328125,-0.375,0.125
1696254814701,-0.43408203,-0.10772705,-0.8706665,-0.453125,-0.734375,0.25
1696254814740,-0.4387207,-0.10479736,-0.866272,-0.125,-0.328125,0.25
1696254814781,-0.43603516,-0.105285645,-0.8699341,0.015625,-0.703125,0.15625
1696254814820,-0.43774414,-0.10235596,-0.86920166,-0.015625,-0.65625,0.09375
1696254814861,-0.43774414,-0.105285645,-0.8677368,-0.109375,-0.59375,0.1875
1696254814900,-0.4428711,-0.105773926,-0.8635864,-0.09375,-0.53125,0.109375
1696254814942,-0.44433594,-0.10406494,-0.87042236,-0.328125,-0.4375,0.3125
1696254814979,-0.4387207,-0.10284424,-0.8677368,-0.15625,-0.359375,0.078125
1696254815020,-0.44067383,-0.10748291,-0.8711548,-0.296875,-0.390625,0.3125
1696254815061,-0.4350586,-0.10650635,-0.8682251,-0.28125,-0.484375,0.140625
1696254815100,-0.43603516,-0.10845947,-0.86676025,-0.1875,-0.546875,0.03125
1696254815140,-0.43188477,-0.10040283,-0.8701782,-0.296875,-0.375,0.203125
1696254815180,-0.43652344,-0.10601807,-0.8670044,-0.15625,-0.625,0.265625
1696254815222,-0.43847656,-0.10699463,-0.8701782,-0.125,-0.515625,0.28125
1696254815260,-0.4326172,-0.10015869,-0.86724854,-0.203125,-0.4375,0.28125
1696254815298,-0.4350586,-0.093322754,-0.8701782,-0.03125,-0.71875,0.25
1696254815319,-0.4440918,-0.10748291,-0.8694458,-0.140625,-0.53125,0.359375
1696254815362,-0.43969727,-0.09820557,-0.8648071,0.015625,-0.34375,0.03125
1696254815401,-0.44067383,-0.10870361,-0.8677368,-0.234375,-0.453125,0.046875
1696254815440,-0.4326172,-0.10333252,-0.8665161,-0.046875,-0.375,0.28125
