,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1696258174891,0.19848633,0.17938232,-0.39874268,-32.65625,-18.09375,-8.875
1,1696258174931,0.1459961,-1.8359985,0.35491943,-57.328125,21.890625,58.0
2,1696258174971,0.49389648,-2.0,0.638855,73.828125,-44.578125,-1.796875
3,1696258175011,-0.20727539,-1.7324829,-0.18756104,-11.734375,-19.09375,-13.140625
4,1696258175051,0.13256836,-1.3440552,-0.1453247,44.3125,2.515625,-35.0625
5,1696258175091,0.053466797,-0.75128174,0.3505249,35.03125,-14.3125,-5.5625
6,1696258175131,0.14990234,-0.45684814,0.09466553,10.140625,-22.4375,1.21875
7,1696258175171,-0.11035156,-0.07183838,0.06878662,5.28125,-26.75,-42.734375
8,1696258175211,-0.3305664,0.054870605,-0.086242676,4.765625,25.34375,-44.859375
9,1696258175251,0.11816406,0.2164917,0.016540527,-1.265625,31.46875,-23.296875
10,1696258175291,-0.030029297,-0.18511963,-0.48150635,-46.484375,10.96875,-6.796875
11,1696258175331,1.999939,-2.0,-2.0,-24.078125,3.21875,171.57812
12,1696258175371,0.022705078,-2.0,0.39227295,34.625,-55.953125,-18.609375
13,1696258175411,-0.60498047,-1.6062622,-0.20635986,-8.28125,-10.703125,-5.21875
14,1696258175451,0.099609375,-0.9434204,0.005554199,18.46875,-7.28125,-26.203125
15,1696258175491,0.41308594,-1.1755981,0.0065307617,40.0,-1.671875,11.0
16,1696258175531,0.21826172,-0.7529907,-0.062561035,-42.46875,-28.984375,13.421875
17,1696258175571,0.07519531,-0.46710205,0.15545654,3.921875,-25.65625,3.3125
18,1696258175611,-0.09863281,-0.19244385,-0.16436768,0.5625,-23.890625,-12.984375
19,1696258175651,-0.12817383,0.19866943,0.031188965,-20.0625,3.0625,-23.171875
20,1696258175691,0.20092773,0.14447021,-0.4619751,-5.015625,-23.84375,-18.609375
21,1696258175731,0.63720703,-0.96295166,-0.13189697,-1.359375,26.828125,46.609375
22,1696258175771,1.901123,-2.0,1.3849487,-2.59375,-38.859375,48.765625
23,1696258175811,-0.3803711,-2.0,0.293396,-5.546875,-52.484375,-14.09375
24,1696258175851,0.10498047,-1.3255005,0.16326904,34.84375,-33.1875,-42.71875
25,1696258175891,0.119384766,-0.7630005,0.2296753,40.359375,-5.859375,-15.84375
26,1696258175931,0.14208984,-0.59454346,0.2453003,14.9375,-14.53125,0.0
27,1696258175971,0.107177734,-0.1716919,-0.13726807,-7.390625,-34.890625,-27.65625
28,1696258176011,-0.032226562,0.11590576,-0.06060791,13.6875,-26.6875,-35.390625
29,1696258176051,-0.18530273,0.16082764,0.0038452148,26.484375,-19.125,-17.890625
30,1696258176091,-0.16381836,-0.1609497,-0.29766846,-18.359375,18.765625,2.953125
31,1696258176131,0.33007812,-1.1021118,-0.569397,16.15625,25.765625,68.625
32,1696258176171,1.4973145,-2.0,1.1481323,55.109375,34.609375,-5.421875
33,1696258176211,-0.67089844,-1.956604,0.50042725,-9.265625,-12.0,-12.25
34,1696258176251,-0.08276367,-1.232727,-0.16656494,-31.5,23.234375,-24.234375
35,1696258176291,0.07421875,-1.1763306,0.105407715,48.21875,22.28125,2.203125
36,1696258176331,0.30688477,-0.5696411,-0.010803223,-28.875,17.90625,5.90625
37,1696258176371,0.18017578,-0.44708252,-0.10333252,-22.578125,-8.90625,4.546875
38,1696258176411,0.08691406,-0.16265869,-0.12579346,2.640625,6.453125,5.03125
39,1696258176451,-0.11767578,-0.09625244,-0.09844971,-23.796875,0.265625,-0.84375
40,1696258176491,0.19995117,0.14251709,0.1786499,-6.40625,-7.953125,-6.046875
41,1696258176531,-0.020751953,0.14544678,-0.03277588,-61.71875,-10.453125,-7.4375
42,1696258176571,0.43139648,-2.0,-0.33624268,3.609375,53.390625,107.46875
43,1696258176611,0.45043945,-2.0,1.00531,64.296875,-50.96875,-4.890625
44,1696258176651,-0.10107422,-1.9048462,-0.016906738,-8.671875,11.203125,-16.40625
45,1696258176691,0.27075195,-1.2376099,-0.062561035,37.421875,26.96875,-34.890625
46,1696258176731,-0.076660156,-0.6958618,0.3287964,17.9375,5.5625,-2.671875
47,1696258176771,-0.02368164,-0.24029541,0.027282715,-6.265625,-4.03125,-9.859375
48,1696258176811,-0.13061523,0.24334717,-0.13702393,-6.5625,6.65625,-46.234375
49,1696258176851,-0.29736328,0.29803467,-0.16461182,10.28125,44.328125,-36.75
50,1696258176891,0.04711914,-0.010559082,-0.10845947,-0.84375,69.171875,-11.421875
51,1696258176931,0.13647461,-0.8911743,-0.71661377,-27.453125,23.734375,25.734375
52,1696258176971,1.9279785,-2.0,1.2919312,36.609375,92.9375,33.390625
53,1696258177011,-0.40063477,-1.9849243,0.7416382,-6.953125,-78.84375,-4.578125
54,1696258177051,-0.4645996,-1.3189087,-0.31280518,-34.71875,39.71875,-29.234375
55,1696258177091,0.15039062,-1.4192505,0.010437012,28.84375,40.296875,-11.640625
56,1696258177131,0.29956055,-0.9038696,-0.1296997,-25.484375,15.171875,-3.171875
57,1696258177171,0.3696289,-0.300354,-0.12188721,-31.359375,-25.4375,0.875
58,1696258177211,0.16210938,-0.086242676,-0.0647583,12.296875,-4.640625,2.359375
59,1696258177251,-0.11352539,0.105895996,0.010681152,-18.71875,10.390625,-5.9375
60,1696258177291,0.05908203,0.1984253,0.012145996,-5.75,-12.0,-22.4375
61,1696258177331,-0.009521484,0.22381592,-0.16705322,1.46875,-3.921875,-6.796875
62,1696258177371,0.28979492,-2.0,0.16766357,-16.375,45.109375,116.734375
63,1696258177411,0.4284668,-2.0,0.84246826,72.796875,-104.984375,-27.59375
64,1696258177451,-0.34423828,-2.0,-0.12554932,-5.84375,3.578125,-8.65625
65,1696258177491,0.60595703,-1.2852173,-0.124572754,42.96875,11.671875,-51.0625
66,1696258177531,-0.016845703,-0.9536743,0.38031006,30.453125,-0.09375,-13.96875
67,1696258177571,0.0075683594,-0.48028564,0.018005371,2.625,-14.734375,-2.359375
68,1696258177611,-0.13476562,-0.00030517578,-0.090148926,-3.453125,-6.09375,-38.859375
69,1696258177651,-0.17773438,0.3571167,-0.18804932,14.234375,18.140625,-43.640625
70,1696258177691,0.104003906,0.22625732,-0.08526611,12.96875,41.421875,-11.640625
71,1696258177731,0.1171875,-0.24517822,-0.25201416,-37.28125,25.3125,14.171875
72,1696258177771,0.28686523,-1.8814087,-0.581604,32.28125,11.703125,93.28125
73,1696258177811,0.6616211,-2.0,0.39056396,34.0625,-7.1875,-46.0625
74,1696258177851,-0.74072266,-2.0,0.3595581,-4.203125,-25.625,-0.265625
75,1696258177891,-0.45532227,-1.1975708,-0.28424072,-12.734375,29.78125,-39.375
76,1696258177931,0.41088867,-1.2424927,-0.06939697,25.796875,38.234375,-0.015625
77,1696258177971,0.3647461,-0.68756104,0.08538818,-42.0,16.03125,-6.0625
78,1696258178011,0.2644043,-0.39385986,0.074401855,5.484375,-0.9375,-5.0625
79,1696258178051,0.011474609,0.04852295,-0.3123169,0.359375,-17.484375,-4.0
80,1696258178091,0.07299805,0.16790771,0.08026123,-18.390625,-16.15625,-7.265625
81,1696258178131,0.26538086,0.262146,-0.105041504,-8.140625,-33.65625,-11.03125
82,1696258178171,-0.076416016,0.046081543,-0.008117676,-17.765625,-26.609375,29.84375
83,1696258178211,1.2866211,-2.0,1.999939,-167.03125,94.96875,157.59375
84,1696258178251,-0.3059082,-1.56427,0.5150757,1.03125,-84.796875,5.984375
85,1696258178291,-0.18530273,-1.8848267,0.09466553,48.8125,3.25,-32.34375
86,1696258178331,0.15820312,-0.9312134,-0.027648926,48.4375,29.453125,-43.625
87,1696258178371,0.09716797,-0.4212036,0.20159912,22.90625,-10.984375,5.40625
88,1696258178411,0.14038086,0.08319092,-0.008361816,-14.96875,-22.5,-24.6875
89,1696258178451,-0.16235352,0.23138428,-0.2979126,-10.5625,0.46875,-35.328125
90,1696258178491,-0.25610352,0.032165527,0.03314209,14.234375,29.671875,-7.421875
91,1696258178531,-0.1640625,-0.48516846,-0.39361572,-48.46875,42.96875,-7.84375
92,1696258178571,1.999939,-2.0,-1.416565,79.328125,-12.953125,214.64062
93,1696258178611,0.5749512,-2.0,0.028259277,34.609375,-55.234375,-18.265625
94,1696258178651,-0.89453125,-2.0,-0.20318604,-33.625,6.015625,-9.6875
95,1696258178691,-0.32202148,-1.2373657,-0.047668457,-10.453125,20.96875,-37.15625
96,1696258178731,0.36328125,-1.0188599,-0.19342041,32.671875,32.109375,-6.359375
97,1696258178771,0.5517578,-0.44537354,0.012878418,-29.96875,1.9375,-7.375
98,1696258178811,0.37426758,-0.22320557,-0.074523926,-15.65625,-4.4375,8.171875
99,1696258178851,-0.022705078,0.058532715,-0.1729126,-17.8125,-22.625,14.046875
100,1696258178891,0.08569336,0.25164795,0.101745605,-15.53125,-21.28125,-6.4375
101,1696258178931,-0.115478516,0.2074585,-0.39117432,-11.390625,-25.390625,-21.5
102,1696258178971,-0.2824707,-1.3684692,0.09124756,-29.71875,29.078125,45.921875
103,1696258179011,1.3291016,-2.0,1.267273,93.96875,-58.453125,-26.0625
104,1696258179051,-0.04272461,-1.7559204,-0.17559814,-11.703125,17.40625,-16.296875
105,1696258179091,0.5942383,-1.6382446,0.097839355,43.25,-21.0,-34.90625
106,1696258179131,0.10913086,-1.039856,0.28582764,59.953125,-30.90625,-27.703125
107,1696258179171,-0.09301758,-0.55670166,-0.043029785,4.875,-14.609375,0.90625
108,1696258179211,-0.17016602,0.05999756,-0.117248535,-3.984375,-11.453125,-28.75
109,1696258179251,-0.3503418,0.42938232,-0.31817627,9.734375,35.890625,-35.59375
110,1696258179291,0.12060547,0.26434326,0.019470215,35.78125,32.5625,-4.8125
111,1696258179331,0.11816406,-0.30596924,-0.4307251,-16.0625,28.0,15.09375
112,1696258179371,0.27856445,-1.5935669,-0.48345947,-17.296875,31.71875,75.71875
113,1696258179411,0.39501953,-2.0,0.42889404,39.28125,-1.375,-56.21875
114,1696258179451,-0.65844727,-2.0,-0.09429932,-6.328125,-25.4375,2.484375
115,1696258179491,-0.10986328,-1.0408325,-0.20855713,-8.265625,32.078125,-42.953125
116,1696258179531,0.42456055,-0.75079346,-0.13848877,20.8125,49.0,-7.75
117,1696258179571,0.3869629,-0.3513794,0.02557373,-24.640625,15.375,11.25
118,1696258179611,0.0871582,-0.11431885,-0.012756348,-16.859375,-20.890625,10.390625
119,1696258179651,-0.11376953,0.16448975,-0.19024658,-30.5,-11.359375,4.390625
120,1696258179691,0.14111328,0.2819214,0.23773193,-14.484375,-18.25,-14.609375
