# Sensor type: Thingy
# Activity type: Lying down on left
# Activity subtype: Normal
# Subject id: s2106809
# Notes: unprocessed
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1696254810699,-0.052734375,0.9501953,0.28222656,0.125,0.25,0.03125,0.0,0.0,0.0
1696254810731,-0.051757812,0.9453125,0.28515625,0.0625,0.1875,0.03125,0.0,0.0,0.0
1696254810774,-0.06347656,0.94921875,0.27246094,0.0625,0.3125,0.03125,0.0,0.0,0.0
1696254810809,-0.048828125,0.95410156,0.26953125,0.0625,0.25,0.21875,0.0,0.0,0.0
1696254810853,-0.055664062,0.9482422,0.27734375,0.0,-0.125,0.09375,0.0,0.0,0.0
1696254810897,-0.05859375,0.95214844,0.2734375,0.25,0.25,0.09375,0.0,0.0,0.0
1696254810931,-0.0546875,0.9453125,0.27734375,0.0625,0.25,0.28125,0.0,0.0,0.0
1696254810978,-0.060546875,0.94921875,0.27246094,-0.25,0.0625,0.21875,0.0,0.0,0.0
1696254811010,-0.059570312,0.9472656,0.28515625,0.125,0.0625,-0.03125,-20.6875,68.4375,-207.8125
1696254811055,-0.057617188,0.9423828,0.2763672,0.0625,0.125,0.09375,0.0,0.0,0.0
1696254811089,-0.05859375,0.94628906,0.28320312,0.0,0.1875,0.03125,0.0,0.0,0.0
1696254811134,-0.045898438,0.9501953,0.2705078,-0.0625,0.0,0.21875,0.0,0.0,0.0
1696254811168,-0.060546875,0.9560547,0.28222656,0.0625,0.1875,0.15625,0.0,0.0,0.0
1696254811213,-0.059570312,0.9560547,0.2841797,0.0,0.1875,0.15625,0.0,0.0,0.0
1696254811258,-0.05078125,0.95703125,0.28222656,-0.1875,0.0625,0.15625,0.0,0.0,0.0
1696254811291,-0.057617188,0.9501953,0.27148438,0.0,0.0,0.34375,0.0,0.0,0.0
1696254811370,-0.05078125,0.9433594,0.2734375,0.25,0.0,0.21875,0.0,0.0,0.0
1696254811371,-0.060546875,0.94433594,0.27148438,0.0625,0.1875,0.09375,0.0,0.0,0.0
1696254811426,-0.048828125,0.9394531,0.2685547,0.1875,0.375,0.15625,0.0,0.0,0.0
1696254811450,-0.060546875,0.9609375,0.28125,0.0625,0.125,0.09375,0.0,0.0,0.0
1696254811495,-0.051757812,0.9511719,0.27539062,0.1875,0.0625,0.28125,0.0,0.0,0.0
1696254811528,-0.057617188,0.9511719,0.28125,0.125,-0.125,0.15625,-19.625,66.9375,-209.125
1696254811586,-0.064453125,0.9609375,0.2685547,0.125,0.125,-0.09375,0.0,0.0,0.0
1696254811618,-0.060546875,0.94921875,0.28222656,-0.1875,-0.0625,0.15625,0.0,0.0,0.0
1696254811652,-0.05859375,0.95703125,0.28222656,-0.1875,-0.0625,0.03125,0.0,0.0,0.0
1696254811730,-0.068359375,0.9482422,0.27441406,0.0625,-0.0625,0.21875,0.0,0.0,0.0
1696254811732,-0.059570312,0.94921875,0.27929688,0.0,0.0625,0.21875,0.0,0.0,0.0
1696254811775,-0.0546875,0.95703125,0.28027344,0.125,0.0625,0.03125,0.0,0.0,0.0
1696254811809,-0.0546875,0.95214844,0.27539062,0.25,-0.0625,0.03125,0.0,0.0,0.0
1696254811854,-0.0546875,0.9482422,0.2890625,0.1875,0.3125,0.15625,0.0,0.0,0.0
1696254811889,-0.057617188,0.9453125,0.28808594,-0.25,0.125,0.21875,0.0,0.0,0.0
1696254811933,-0.055664062,0.9433594,0.2705078,-0.25,0.1875,0.15625,0.0,0.0,0.0
1696254811978,-0.055664062,0.9472656,0.28222656,0.0,0.0625,0.03125,0.0,0.0,0.0
1696254812012,-0.056640625,0.9501953,0.28320312,0.1875,0.125,-0.03125,-21.875,69.3125,-207.625
1696254812056,-0.056640625,0.95410156,0.28027344,0.25,0.125,0.09375,0.0,0.0,0.0
1696254812090,-0.057617188,0.9550781,0.26953125,0.1875,0.1875,-0.03125,0.0,0.0,0.0
1696254812135,-0.05078125,0.9501953,0.27734375,0.0625,0.3125,-0.03125,0.0,0.0,0.0
1696254812169,-0.05859375,0.9433594,0.2763672,0.0,0.0625,0.28125,0.0,0.0,0.0
1696254812213,-0.052734375,0.94921875,0.2783203,0.125,-0.0625,0.28125,0.0,0.0,0.0
1696254812248,-0.060546875,0.9394531,0.26367188,0.1875,0.3125,0.03125,0.0,0.0,0.0
1696254812292,-0.055664062,0.94628906,0.27246094,0.0,0.0625,0.09375,0.0,0.0,0.0
1696254812337,-0.06347656,0.9511719,0.28320312,0.0,0.0,0.15625,0.0,0.0,0.0
1696254812371,-0.0546875,0.953125,0.27441406,0.0,0.125,0.09375,0.0,0.0,0.0
